id,name,gender,birth_country,total_country_wins,award_year,category,age_at_award
38,Werner Karl Heisenberg,male,Germany,78,1932,The Nobel Prize in Physics,31
1,Wilhelm Conrad Röntgen,male,Prussia,13,1901,The Nobel Prize in Physics,56
168,Wilhelm Ostwald,male,Russian Empire,16,1909,The Nobel Prize in Chemistry,56
16,Wilhelm Wien,male,Prussia,13,1911,The Nobel Prize in Physics,47
224,Willard Frank Libby,male,USA,298,1960,The Nobel Prize in Chemistry,52
839,Willard S. Boyle,male,Canada,22,2009,The Nobel Prize in Physics,85
315,Willem Einthoven,male,"Java, Dutch East Indies",1,1924,The Nobel Prize in Physiology or Medicine,64
123,William Alfred Fowler,male,USA,298,1983,The Nobel Prize in Physics,72
65,William Bradford Shockley,male,United Kingdom,94,1956,The Nobel Prize in Physics,46
20,Sir William Henry Bragg,male,United Kingdom,94,1915,The Nobel Prize in Physics,53
593,William Butler Yeats,male,Ireland,5,1923,The Nobel Prize in Literature,58
916,William C. Campbell,male,Ireland,5,2015,The Nobel Prize in Physiology or Medicine,85
968,William D. Nordhaus,male,USA,298,2018,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,77
154,William D. Phillips,male,USA,298,1997,The Nobel Prize in Physics,49
911,William E. Moerner,male,USA,298,2014,The Nobel Prize in Chemistry,61
209,William Francis Giauque,male,Canada,22,1949,The Nobel Prize in Chemistry,54
706,William F. Sharpe,male,USA,298,1990,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,56
620,William Faulkner,male,USA,298,1949,The Nobel Prize in Literature,52
970,William G. Kaelin Jr,male,USA,298,2019,The Nobel Prize in Physiology or Medicine,62
660,William Golding,male,United Kingdom,94,1983,The Nobel Prize in Literature,72
243,William H. Stein,male,USA,298,1972,The Nobel Prize in Chemistry,61
741,William S. Knowles,male,USA,298,2001,The Nobel Prize in Chemistry,84
249,William N. Lipscomb,male,USA,298,1976,The Nobel Prize in Chemistry,57
328,William Parry Murphy,male,USA,298,1934,The Nobel Prize in Physiology or Medicine,42
716,William Vickrey,male,Canada,22,1996,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,82
63,Willis Eugene Lamb,male,USA,298,1955,The Nobel Prize in Physics,42
